type,prix,adresse,image
Ensemble chaussures et chaussettes pour bebe,1 800,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Ballerines enfants ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002639_uploaded_image1_1729418695.jpg
Baskets Nike Air Max,6 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg
Jordan enfants ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4976138_uploaded_image1_1728002356.jpg
jordans enfants,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
Chaussures enfant,4 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
Chaussures enfants,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934544_uploaded_image1_1725833379.jpg
Baskets Nike enfants,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg
Baskets Jordan enfants,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930596_uploaded_image1_1725607117.jpg
Chaussures enfant ,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928091_uploaded_image1_1725487369.jpg
Baskets  Jordan enfants ,16 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg
Baskets Jordan 6 ,11 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg
Baskets Nike React ,9 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg
Baskets enfant,8 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921233_uploaded_image1_1725193317.jpg
Chaussures enfant,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4870683_uploaded_image2_1722496365.jpeg
Chaussures enfants,3 000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
Chaussures bébé et enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
Chaussures filles,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg
Chaussures enfants,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781989_uploaded_image1_1717637364.jpg
