type,prix,adresse,image
Pull ,10 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5635943_uploaded_image1_1763859233.jpg
Veste en polyester ,4 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683755_uploaded_image1_1766339016.jpg
Jeans en denim,4 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683753_uploaded_image1_1766338561.jpg
Chemises courtes manches,4 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683748_uploaded_image1_1766338016.jpg
Chemises manches longues,4 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683744_uploaded_image1_1766337819.jpg
Veste Adidas,8 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683704_uploaded_image1_1766336299.jpg
Blousons ,12 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683156_uploaded_image1_1766303303.jpg
T-shirts ,5 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5680655_uploaded_image1_1766153079.jpg
Costumes homme,25 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5679136_uploaded_image1_1766070921.jpg
Blouson longue manche ,6 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635318_uploaded_image1_1763821463.jpg
Collants Nike,4 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635312_uploaded_image1_1763821085.jpg
Blouson ,9 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635309_uploaded_image1_1763820983.jpg
Ensemble longue manche,6 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635299_uploaded_image1_1763820328.jpg
Ensemble coton,7 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635259_uploaded_image1_1763818705.jpg
Ensemble longue manche,6 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635224_uploaded_image1_1763816701.jpg
Ensemble femme ,15 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624977_uploaded_image1_1763325894.jpg
Emsemble 100℅ coton ,15 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624968_uploaded_image1_1763325481.jpg
Ensemble blouson en coton,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671485_uploaded_image1_1765666732.jpg
Vêtements homme,300,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5670248_uploaded_image1_1765581207.jpg
Spencer ,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664755_uploaded_image1_1765323778.jpg
