type,prix,adresse,image
Baskets New Balance ,16 900,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5604084_uploaded_image1_1762212669.jpg
Baskets TN ,16 900,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5604077_uploaded_image1_1762212426.jpg
Baskets New Balance ,16 900,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5604075_uploaded_image1_1762212336.jpg
Chaussures hommes ,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603314_uploaded_image1_1762181979.jpg
Baskets Adidas ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5603000_uploaded_image1_1762171793.jpg
Chaussures homme ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5600252_uploaded_image1_1762008921.jpg
Mocassins homme ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5600246_uploaded_image1_1762008803.jpg
Chaussures bouts,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5600244_uploaded_image1_1762008703.jpg
Chaussures homme ,30 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5600240_uploaded_image1_1762008540.jpg
Chaussures homme ,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5600236_uploaded_image1_1762008222.jpg
Chaussures homme ,30 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5600233_uploaded_image1_1762008119.jpg
Bottes homme,28 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5600232_uploaded_image1_1762007958.jpg
Baskets All Star ,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5599179_uploaded_image1_1761936293.jpg
Baskets New Balance ,25 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5557732_uploaded_image1_1759538261.jpg
Sandales en cuir ,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5595893_uploaded_image1_1761763941.jpg
Sandales homme,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5595866_uploaded_image1_1761763043.jpg
Baskets Adidas superstar ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5587688_uploaded_image1_1761224531.jpg
Baskets Adidas superstar ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5587686_uploaded_image1_1761224456.jpg
Baskets New Balance 1000,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5582640_uploaded_image1_1760962573.jpg
Baskets Adidas adistar,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5577775_uploaded_image1_1760656709.jpg
Chaussures Nike zoom running,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5581224_uploaded_image1_1760883477.jpg
Chaussures TN full Black ,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5581215_uploaded_image1_1760883280.jpg
Baskets Crampon phantom,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552695_uploaded_image1_1759324410.jpg
Baskets Louis Vuitton ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
Baskets  Reebok ,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552649_uploaded_image1_1759323592.jpg
Baskets Yeezy 700 v2,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552657_uploaded_image1_1759323687.jpg
Baskets Vans knu scool,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552664_uploaded_image1_1759323810.jpg
Balanciaga 3XL,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552640_uploaded_image1_1759323253.jpg
Baskets Jordan 4 RM,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5567808_uploaded_image1_1760100111.jpg
Baskets Nike TN ,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5567803_uploaded_image1_1760099855.jpg
Baskets Air Max 95,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5567806_uploaded_image1_1760100010.jpg
Baskets Asic 1130,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5571618_uploaded_image1_1760357347.jpg
Baskets New Balance fresh foam,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552446_uploaded_image1_1759318432.jpg
Baskets New Balance fresh foam,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552449_uploaded_image1_1759318532.jpg
Baskets Adidas adizero ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552010_uploaded_image1_1759307377.jpg
Baskets Adidas adizero ,27 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5552006_uploaded_image1_1759307290.jpg
New balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5580643_uploaded_image1_1760827489.jpg
New Balance ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5580645_uploaded_image1_1760827559.jpg
Chaussures Balenciaga,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5593164_uploaded_image1_1761605705.jpg
Nike shox R4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5570882_uploaded_image1_1760305854.jpg
Baskets Adidas campus,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5551113_uploaded_image1_1759265168.jpg
